config,timm_id,size,seed,val_auc,params_M,cbis_test,mias,inbreast,secs
MobileNetV2 @224,mobilenetv2_100,224,2021,0.7867026114070417,2.2,0.699647839631586,0.6332179930795848,0.7708387771100079,56
MobileNetV2 @224,mobilenetv2_100,224,7,0.745590085958663,2.2,0.7311010090749017,0.6986735870818915,0.82257643062451,63
MobileNetV2 @224,mobilenetv2_100,224,123,0.7404645067752188,2.2,0.7357866043613707,0.7321222606689733,0.8259733472694016,67
EfficientNet-B0 @224,efficientnet_b0,224,2021,0.7949309254687973,4.0,0.7054508668562914,0.7282295271049597,0.8297622158348577,81
EfficientNet-B0 @224,efficientnet_b0,224,7,0.7772540153147195,4.0,0.7062381484491399,0.7439446366782008,0.8155212960543506,81
EfficientNet-B0 @224,efficientnet_b0,224,123,0.76197512964925,4.0,0.7081343965867534,0.7432237600922723,0.8079435589234387,82
EfficientNet-B0 @300,efficientnet_b0,300,2021,0.8129466025724308,4.0,0.7365357916835975,0.6461937716262977,0.8270185523909067,144
EfficientNet-B0 @300,efficientnet_b0,300,7,0.7990956210140137,4.0,0.7524422660165245,0.689878892733564,0.789129866736347,143
EfficientNet-B0 @300,efficientnet_b0,300,123,0.7962555066079294,4.0,0.7375135446295544,0.717128027681661,0.815782597334727,144
EfficientNet-B3 @224,efficientnet_b3,224,2021,0.8335390411848773,10.7,0.728849214411486,0.6738754325259515,0.7726678860726418,156
EfficientNet-B3 @224,efficientnet_b3,224,7,0.7766567839088796,10.7,0.7293571380197752,0.7015570934256056,0.7226286908805852,137
EfficientNet-B3 @224,efficientnet_b3,224,123,0.7636619639770256,10.7,0.7165870919680347,0.691753171856978,0.7857329500914555,140
EfficientNet-B3 @300,efficientnet_b3,300,2021,0.8177428435321121,10.7,0.7477143437626981,0.709919261822376,0.7274627645675464,241
EfficientNet-B3 @300,efficientnet_b3,300,7,0.7936245547426571,10.7,0.7537797981850196,0.6663783160322954,0.707081264698197,251
EfficientNet-B3 @300,efficientnet_b3,300,123,0.7644426476328556,10.7,0.738745259379656,0.7145328719723184,0.7465377580350143,200
ResNet-50 @224,resnet50,224,2021,0.8195292538218353,23.5,0.7380257009345794,0.7165513264129182,0.8361640972040764,185
ResNet-50 @224,resnet50,224,7,0.7749290787705565,23.5,0.7377505756467561,0.7177047289504037,0.8326365299189966,150
ResNet-50 @224,resnet50,224,123,0.7906513132214353,23.5,0.7376786198022484,0.7246251441753172,0.8392997125685916,151
ResNet-50 @300,resnet50,300,2021,0.8246286431943181,23.5,0.7379368143031289,0.6969434832756632,0.8276718055918474,284
ResNet-50 @300,resnet50,300,7,0.7669091141778468,23.5,0.7289761953135582,0.714677047289504,0.8411288215312256,284
ResNet-50 @300,resnet50,300,123,0.7722216026320192,23.5,0.7252641202763105,0.7068915801614764,0.8377319048863339,286
DenseNet-121 @224,densenet121,224,2021,0.8470941059287168,7.0,0.7282693349586888,0.6995386389850058,0.839561013848968,162
DenseNet-121 @224,densenet121,224,7,0.7643388861634282,7.0,0.7276048015711771,0.7417820069204152,0.8432192317742357,146
DenseNet-121 @224,densenet121,224,123,0.7693219204817934,7.0,0.719643099011242,0.7352941176470588,0.838777110007839,147
ViT-B/16 @224,vit_base_patch16_224,224,2021,0.8542830540037244,85.8,0.7677265339292969,0.7220299884659747,0.8441337862555526,298
ViT-B/16 @224,vit_base_patch16_224,224,7,0.8141223897788111,85.8,0.7733136936204794,0.7407727797001153,0.854977789391168,185
ViT-B/16 @224,vit_base_patch16_224,224,123,0.823161211174929,85.8,0.7898804686441826,0.7466839677047289,0.8155212960543508,203
Swin-T @224,swin_tiny_patch4_window7_224,224,2021,0.8472998137802608,27.5,0.7494624475145605,0.7804209919261822,0.833943036320878,214
Swin-T @224,swin_tiny_patch4_window7_224,224,7,0.7849113751253118,27.5,0.739274346471624,0.7687427912341408,0.8382545074470865,175
Swin-T @224,swin_tiny_patch4_window7_224,224,123,0.7862878492165282,27.5,0.7380934240823513,0.7768166089965397,0.8400836164097204,257
ConvNeXt-T @224,convnext_tiny,224,2021,0.844105928716816,27.8,0.7437990992821346,0.7029988465974626,0.8221844787039457,185
ConvNeXt-T @224,convnext_tiny,224,7,0.791459590896487,27.8,0.751189387782744,0.7263552479815456,0.8591586098771884,111
ConvNeXt-T @224,convnext_tiny,224,123,0.7786901243517537,27.8,0.753094101313829,0.7283737024221453,0.8353801933629476,128
