config,timm_id,size,params_M,cbis_test_mean,cbis_test_std,mias_mean,inbreast_mean,val_mean,n
ViT-B/16 @224,vit_base_patch16_224,224,85.8,0.7769735653979862,0.011521510400494268,0.7364955786236064,0.8382109572336903,0.8305222183191548,3
ConvNeXt-T @224,convnext_tiny,224,27.8,0.7493608627929026,0.00490987712892663,0.7192425990003845,0.8389077606480272,0.8047518813216855,3
EfficientNet-B3 @300,efficientnet_b3,300,10.7,0.7467464671091246,0.007563856700446913,0.6969434832756632,0.727027262433586,0.7919366819692083,3
Swin-T @224,swin_tiny_patch4_window7_224,224,27.5,0.7422767393561785,0.006250955584984474,0.7753267973856209,0.8374270533925617,0.8061663460407003,3
EfficientNet-B0 @300,efficientnet_b0,300,4.0,0.7421638674432255,0.008914769101302008,0.6844002306805076,0.8106436721539936,0.8027659100647914,3
ResNet-50 @224,resnet50,224,23.5,0.737818298794528,0.0001831833689589028,0.7196270665128797,0.8360334465638882,0.795036548604609,3
ResNet-50 @300,resnet50,300,23.5,0.7307257099643326,0.006514974643795215,0.7061707035755479,0.8355108440031356,0.7879197866680614,3
DenseNet-121 @224,densenet121,224,7.0,0.7251724118470361,0.004800039216801915,0.7255382545174932,0.840519118543681,0.7935849708579794,3
EfficientNet-B3 @224,efficientnet_b3,224,10.7,0.7249311481330986,0.007230625945398535,0.6890618992695118,0.760343175681561,0.7912859296902609,3
MobileNetV2 @224,mobilenetv2_100,224,2.2,0.7221784843559528,0.01965225596639921,0.68800461361015,0.8064628516679733,0.7575857347136412,3
EfficientNet-B0 @224,efficientnet_b0,224,4.0,0.7066078039640615,0.00137942627688192,0.7384659746251443,0.8177423569375489,0.7780533568109224,3
