dataset,strategy,thr,sens,spec,acc,youden,tp,fp,tn,fn,prevalence,needs_target_labels
cbis_test,fixed 0.5,0.5,0.7028985507246377,0.647196261682243,0.6690340909090909,0.3500948124068808,194,151,277,82,0.39204545454545453,False
cbis_test,Youden J on source validation,0.5035646,0.6920289855072463,0.6518691588785047,0.6676136363636364,0.34389814438575117,191,149,279,85,0.39204545454545453,False
cbis_test,oracle Youden J on target (upper bound),0.563405628,0.6231884057971014,0.7616822429906542,0.7073863636363636,0.3848706487877558,172,102,326,104,0.39204545454545453,True
cbis_test,quantile transfer (no target labels),0.5035646,0.6702898550724637,0.6799065420560748,0.6761363636363636,0.35019639712853845,185,137,291,91,0.39204545454545453,False
cbis_test,prevalence-matched transfer (target prevalence known),0.5331635917977611,0.6594202898550725,0.6985981308411215,0.6832386363636364,0.35801842069619405,182,129,299,94,0.39204545454545453,False
mias,fixed 0.5,0.5,0.7843137254901961,0.5147058823529411,0.6302521008403361,0.2990196078431371,40,33,35,11,0.42857142857142855,False
mias,Youden J on source validation,0.5035646,0.7647058823529411,0.5294117647058824,0.6302521008403361,0.2941176470588234,39,32,36,12,0.42857142857142855,False
mias,oracle Youden J on target (upper bound),0.546201388,0.6862745098039216,0.7058823529411765,0.6974789915966386,0.392156862745098,35,20,48,16,0.42857142857142855,True
mias,quantile transfer (no target labels),0.5035646,0.6862745098039216,0.7058823529411765,0.6974789915966386,0.392156862745098,35,20,48,16,0.42857142857142855,False
mias,prevalence-matched transfer (target prevalence known),0.5456216418973431,0.6862745098039216,0.7058823529411765,0.6974789915966386,0.392156862745098,35,20,48,16,0.42857142857142855,False
inbreast,fixed 0.5,0.5,0.8876404494382022,0.7441860465116279,0.8409090909090909,0.6318264959498301,79,11,32,10,0.6742424242424242,False
inbreast,Youden J on source validation,0.5035646,0.8876404494382022,0.7441860465116279,0.8409090909090909,0.6318264959498301,79,11,32,10,0.6742424242424242,False
inbreast,oracle Youden J on target (upper bound),0.531564649,0.8876404494382022,0.7906976744186046,0.8560606060606061,0.6783381238568067,79,9,34,10,0.6742424242424242,True
inbreast,quantile transfer (no target labels),0.5035646,0.6404494382022472,0.9069767441860465,0.7272727272727273,0.5474261823882935,57,4,39,32,0.6742424242424242,False
inbreast,prevalence-matched transfer (target prevalence known),0.6082715387061971,0.7752808988764045,0.8372093023255814,0.7954545454545454,0.6124902012019859,69,7,36,20,0.6742424242424242,False
